record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
table_slot	005a45f0	PTR_FUN_005a45f0	005a45f0	004b1690	pointer	FUN_004b1690	index=0;offset=0x0;raw=0x004B1690;data=004b1690
table_slot_incoming	005a45f0	PTR_FUN_005a45f0	004afacc	005a45f0	DATA	FUN_004afac0	index=0;offset=0x0;raw=0x004B1690;data=004b1690;owner_entry=004afac0
table_slot_incoming	005a45f0	PTR_FUN_005a45f0	004afbaa	005a45f0	DATA	FUN_004afba0	index=0;offset=0x0;raw=0x004B1690;data=004b1690;owner_entry=004afba0
table_slot_outgoing	005a45f0	PTR_FUN_005a45f0	005a45f0	004b1690	DATA	FUN_004b1690	index=0;offset=0x0;raw=0x004B1690;data=004b1690
table_slot	005a45f0	PTR_FUN_005a45f0	005a45f4	004b00e4	pointer	FUN_004b00e4	index=1;offset=0x4;raw=0x004B00E4;data=
table_slot	005a45f0	PTR_FUN_005a45f0	005a45f8	004b15bf	pointer	FUN_004b15bf	index=2;offset=0x8;raw=0x004B15BF;data=
table_search	005a45f0	PTR_FUN_005a45f0	005a45f0		table		requested_slots=3;slots_read=3;errors=0;slot_bytes=4
table_slot	005a45fc	PTR_FUN_005a45fc	005a45fc	004b3a20	pointer	FUN_004b3a20	index=0;offset=0x0;raw=0x004B3A20;data=004b3a20
table_slot_incoming	005a45fc	PTR_FUN_005a45fc	004b1ef1	005a45fc	DATA	FUN_004b1ea9	index=0;offset=0x0;raw=0x004B3A20;data=004b3a20;owner_entry=004b1ea9
table_slot_incoming	005a45fc	PTR_FUN_005a45fc	004b2161	005a45fc	DATA	FUN_004b2155	index=0;offset=0x0;raw=0x004B3A20;data=004b3a20;owner_entry=004b2155
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a45fc	004b3a20	DATA	FUN_004b3a20	index=0;offset=0x0;raw=0x004B3A20;data=004b3a20
table_slot	005a45fc	PTR_FUN_005a45fc	005a4600	004b21be	pointer	FUN_004b21be	index=1;offset=0x4;raw=0x004B21BE;data=004b21be
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4600	004b21be	DATA	FUN_004b21be	index=1;offset=0x4;raw=0x004B21BE;data=004b21be
table_slot	005a45fc	PTR_FUN_005a45fc	005a4604	004b263e	pointer	FUN_004b263e	index=2;offset=0x8;raw=0x004B263E;data=004b263e
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4604	004b263e	DATA	FUN_004b263e	index=2;offset=0x8;raw=0x004B263E;data=004b263e
table_slot	005a45fc	PTR_FUN_005a45fc	005a4608	004b273b	pointer	FUN_004b273b	index=3;offset=0xC;raw=0x004B273B;data=004b273b
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4608	004b273b	DATA	FUN_004b273b	index=3;offset=0xC;raw=0x004B273B;data=004b273b
table_slot	005a45fc	PTR_FUN_005a45fc	005a460c	004b2893	pointer	FUN_004b2893	index=4;offset=0x10;raw=0x004B2893;data=004b2893
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a460c	004b2893	DATA	FUN_004b2893	index=4;offset=0x10;raw=0x004B2893;data=004b2893
table_slot	005a45fc	PTR_FUN_005a45fc	005a4610	004b2926	pointer	FUN_004b2926	index=5;offset=0x14;raw=0x004B2926;data=004b2926
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4610	004b2926	DATA	FUN_004b2926	index=5;offset=0x14;raw=0x004B2926;data=004b2926
table_slot	005a45fc	PTR_FUN_005a45fc	005a4614	004b29b9	pointer	FUN_004b29b9	index=6;offset=0x18;raw=0x004B29B9;data=004b29b9
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4614	004b29b9	DATA	FUN_004b29b9	index=6;offset=0x18;raw=0x004B29B9;data=004b29b9
table_slot	005a45fc	PTR_FUN_005a45fc	005a4618	004b2a50	pointer	FUN_004b2a50	index=7;offset=0x1C;raw=0x004B2A50;data=004b2a50
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4618	004b2a50	DATA	FUN_004b2a50	index=7;offset=0x1C;raw=0x004B2A50;data=004b2a50
table_slot	005a45fc	PTR_FUN_005a45fc	005a461c	004b2a8f	pointer	FUN_004b2a8f	index=8;offset=0x20;raw=0x004B2A8F;data=004b2a8f
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a461c	004b2a8f	DATA	FUN_004b2a8f	index=8;offset=0x20;raw=0x004B2A8F;data=004b2a8f
table_slot	005a45fc	PTR_FUN_005a45fc	005a4620	004b2aba	pointer	FUN_004b2aba	index=9;offset=0x24;raw=0x004B2ABA;data=004b2aba
table_slot_outgoing	005a45fc	PTR_FUN_005a45fc	005a4620	004b2aba	DATA	FUN_004b2aba	index=9;offset=0x24;raw=0x004B2ABA;data=004b2aba
table_slot	005a45fc	PTR_FUN_005a45fc	005a4624	004b2d35	pointer	FUN_004b2d35	index=10;offset=0x28;raw=0x004B2D35;data=004b2d35
